occ,recs
operations mgr                     ,1024
packaging                          ,1024
cake decorator                     ,1022
child care worker                  ,1021
tile setter                        ,1021
steelworker                        ,1017
business development               ,1017
lab assistant                      ,1012
data entry clerk                   ,1011
sales associates                   ,1010
cfo                                ,1010
asst                               ,1009
postal service                     ,1008
nurse aid                          ,1007
entrepreneur                       ,1007
office work                        ,1006
adm asst                           ,1001
retirement                         ,998
logger                             ,998
executive secretary                ,996
program specialist                 ,994
r.n.                               ,989
various                            ,988
business consultant                ,987
other                              ,983
stna                               ,980
checker                            ,973
sitter                             ,968
funeral director                   ,968
volunteer                          ,961
ups                                ,961
desk clerk                         ,960
payroll specialist                 ,960
detention officer                  ,958
lawncare                           ,957
glazier                            ,955
contruction                        ,954
oper                               ,953
event planner                      ,950
car sales                          ,947
carpentry                          ,947
drywall                            ,944
medical technician                 ,942
meter reader                       ,942
receiving                          ,941
cma                                ,939
resident physician                 ,937
special agent                      ,934
textile                            ,933
oil field                          ,925
research analyst                   ,923
register nurse                     ,923
area manager                       ,921
telemarketing                      ,921
line cook                          ,921
cooker                             ,919
escrow officer                     ,918
programmer/analyst                 ,916
fitness instructor                 ,913
usps                               ,911
unit secretary                     ,910
retailer                           ,910
small business owner               ,909
sonographer                        ,907
postmaster                         ,907
owner operator                     ,906
financial consultant               ,905
it tech                            ,905
auto worker                        ,904
veterinary technician              ,904
day care worker                    ,904
sorter                             ,903
facility manager                   ,901
computers                          ,900
management analyst                 ,900
dance instructor                   ,899
wage                               ,892
assistant teacher                  ,891
sales agent                        ,890
active duty military               ,885
school aide                        ,885
sales executive                    ,881
logistics manager                  ,879
us military                        ,878
dietician                          ,877
hotel manager                      ,875
office coordinator                 ,874
caseworker                         ,874
cleaning services                  ,874
operations supervisor              ,873
shipper                            ,873
food prep                          ,873
hr director                        ,872
network admin                      ,870
bookkeeping                        ,869
adm assistant                      ,869
internal auditor                   ,866
insulator                          ,865
produce manager                    ,865
line worker                        ,864
store owner                        ,863
electronics tech                   ,861
kitchen manager                    ,861
customer service agent             ,859
pre-school teacher                 ,858
nurses aid                         ,857
landlord                           ,857
instructional assistant            ,856
health care provider               ,856
route driver                       ,852
interior design                    ,852
banquet server                     ,849
unemployee                         ,846
auto repair                        ,845
maintenance manager                ,842
air force                          ,842
painting                           ,841
taxpayer                           ,837
human resources manager            ,837
plumbing                           ,836
manufacturing engineer             ,835
automotive                         ,835
groomer                            ,834
shop foreman                       ,833
city employee                      ,833
software                           ,833
human services                     ,832
housecleaning                      ,830
daycare teacher                    ,830
agriculture                        ,828
instructional aide                 ,828
city worker                        ,826
retired educator                   ,824
transporter                        ,824
retried                            ,823
tax examiner                       ,822
claims representative              ,821
restaurant owner                   ,821
college instructor                 ,820
janitorial services                ,820
host                               ,819
service clerk                      ,818
lifeguard                          ,816
minor                              ,816
millworker                         ,816
ironworker                         ,815
maintanance                        ,815
process engineer                   ,813
financial manager                  ,813
it support                         ,813
insurance underwriter              ,811
receiver                           ,810
admin. asst.                       ,810
government employee                ,808
guidance counselor                 ,808
state worker                       ,807
retired nurse                      ,807
account rep                        ,807
leasing agent                      ,805
ramp agent                         ,804
x-ray tech                         ,800
retired engineer                   ,800
safety manager                     ,799
tool maker                         ,798
carrier                            ,798
bar tender                         ,798
finance director                   ,797
loss prevention                    ,795
test engineer                      ,794
claims rep                         ,794
corporate officer                  ,794
administrative assista             ,790
forester                           ,786
grocery                            ,785
home care provider                 ,785
cable installer                    ,783
food service manager               ,780
grounds keeper                     ,779
",                                  ",778
marine                             ,778
executive asst                     ,776
sales director                     ,775
selfemployee                       ,774
dental tech                        ,773
it technician                      ,772
administrative assist              ,771
field technician                   ,769
warehouse clerk                    ,769
customer serv                      ,767
sales coordinator                  ,766
deli                               ,766
civil servant                      ,763
sheet metal                        ,762
work study                         ,762
guard                              ,762
biller                             ,761
rep                                ,760
dish washer                        ,759
driller                            ,758
actress                            ,757
busser                             ,756
service coordinator                ,756
deli worker                        ,756
maintenence                        ,755
disabled/retired                   ,754
walmart associate                  ,753
floral designer                    ,752
it project manager                 ,751
payroll manager                    ,751
wife                               ,750
library clerk                      ,749
radiology tech                     ,748
stay at home mother                ,746
sales support                      ,746
medical transcription              ,746
bus monitor                        ,746
field service engineer             ,745
rural carrier                      ,743
developer                          ,743
police                             ,742
crew leader                        ,740
landscape architect                ,739
financial planner                  ,738
bagger                             ,737
customer svc                       ,734
retired disabled                   ,733
salaried                           ,731
corp officer                       ,731
marketing consultant               ,731
assembly worker                    ,731
boilermaker                        ,729
account clerk                      ,729
service writer                     ,727
technical analyst                  ,727
patient care tech                  ,727
wage earner                        ,727
adjuster                           ,726
service representative             ,724
medical clerk                      ,724
staff assistant                    ,724
shipping and receiving             ,723
educational assistant              ,723
radiographer                       ,721
tree trimmer                       ,721
piano teacher                      ,721
actuary                            ,720
bank officer                       ,719
front desk clerk                   ,719
distribution                       ,717
quality inspector                  ,717
merchant                           ,717
homewife                           ,717
horse trainer                      ,716
pre school teacher                 ,716
tailor                             ,712
repairman                          ,710
concierge                          ,709
kitchen worker                     ,708
accounts payable clerk             ,704
framer                             ,701
microbiologist                     ,701
cater                              ,700
revenue agent                      ,698
public works                       ,698
network analyst                    ,694
human resource                     ,692
contract administrator             ,692
production assistant               ,691
network technician                 ,691
athletic trainer                   ,690
part time                          ,689
policeman                          ,688
software eng                       ,687
records clerk                      ,686
hr generalist                      ,685
reporter                           ,685
postal employee                    ,684
medical records clerk              ,684
mechanical designer                ,684
sales rep.                         ,683
employer                           ,683
computer support                   ,682
businessman                        ,681
casino employee                    ,680
mortgage banker                    ,680
field tech                         ,680
dental technician                  ,679
maintanence                        ,677
kitchen helper                     ,676
computer programer                 ,676
domestic                           ,675
limo driver                        ,675
concrete finisher                  ,675
valet                              ,674
toolmaker                          ,674
heavy equip operator               ,673
sale                               ,672
utility                            ,671
superviser                         ,671
hr assistant                       ,669
woodworker                         ,669
dietary aid                        ,665
title clerk                        ,664
parking attendant                  ,664
